Rating 1,Rating 2,Rating 3,Sim ,Replica,Topic
4,5,5,4.88427572," To a teaching faculty as opposed to research faculty. There's this person just wasn't doing research. So maybe we need not only research faculty and teaching faculty, but maybe we need impact faculty. Is there such a thing as impact faculty and then you can form it.","The New School‚Äö√Ñ√¥s formal criteria for faculty hiring and promotion should value activities to accelerate impact along with research and teaching and have the Faculty Senate and the Provost appoint a committee to consider these implications. ,"
2,5,1,4.784979864,"I think we should certainly restricted but not till all Canadian have been vaccinated because there are a lot of Canadians that don't feel cannot be vaccinated and a lot of Canadians who don't want to be vaccinated and I strongly believe I mean eventually the thing will get go away is like the Spanish Flu eventually went away and even the best ones went away eventually, so I think we should wait till we should restrict the belt.","Canada should continue to restrict and closely monitor international travel from high-risk regions until most or all Canadians have been vaccinated.,"
1,5,5,3.10972004,"I think that on paper the sounds like a really good idea, but I think there needs to be a system in place where you know the ways that this money can be spent is kind of controlled for because I mean if you think about it thousand dollars a month can be spent in so many different ways and there's really no way of knowing if this money is going to be put into like a productive use. So I mean we would have to look at you know the system to see how this",The government should give cash grants of $1000/month to all adults at least 18-years-old.
5,5,5,2.691257048,"So this idea like sounds very good. And you know, it sounds I mean, of course it's needed for most vulnerable people in society, but it's also when I think about what it'll do financially like the dead and all of that, I mean in the long term, we're all dead. So of course addressing it is very important, but also like the future Generations asked and the future Generations being left with you know an economy and","The federal government should pass into law the Emergency Money for the People Act, which will give every American age 16 and older, who earns less than $130000 per year,$2 000 every month, for at least six months, or up to 12 months total, unless employment levels return to pre-COVID-19 levels after the initial six-month period."
4,3,2,5.83338432,pre-existing conditions when they dont have the Medicaid expansion for,"The federal government should reduce funding for Medicaid, the federal-state program that provide insurance to low-income Americans"
5,3,3,2.234986472,"Yeah. Yeah, I was going to pitch in on the integrated side both because I think otherwise if we lose track of rural are agricultural, it's a problem because as I understand it not being a specialist that a major portion of you know greenhouse gases for example related to agriculture. So to me, we can't you can't really miss that that large topic and maybe it I like the population human populations, you know, rural and urban","Here we have a set of proposals regarding various research topics for which the New School might incorporate a critical mass of faculty members on cities, climate science, earth and planetary sciences, energy, human health, human sustenance, the natural world, public policy, and social science and ethics."
5,4,5,4.188277296,"I don't agree with what covering college for college tuition at all. Like that's that's super expensive and you know, there's a lot of lot of scholarships and grants and place for you to earn and I mean, that's the thing though for you to earn it. Like it's not handed to you you have to do well in school and you have to put some good things on your resume.","The government should cover the cost of college tuition at public universities for all students who could not otherwise afford it,"
1,4,2,3.216529656,Right and page you can probably comment. I think that I had to guess. I think a lot of faculty in the school of Earth would move and I don't know what would happen with that. You couldn't have I think a residual small school those faculty that didn't want to move would have to go somewhere else I think.,"Stanford should emerge from the transition with seven schools: H&S, Law, GSB, Engineering, Medicine, Education, and the New School."
3,3,5,2.368532232,"Yeah, I'm also be concerned with like it seems that the kind of reinforces strong gendered like practices like the doctor said so one example that like sororities are not allowed to host parties with alcohol or something. I'm not sure if that's like the case here. But um, yeah also as so identify as bisexual but I've never really felt comfortable and places of like strong masculinity and that's kind of the image. I've had it.","Stanford should abolish Greek life.,"
4,4,4,2.982998416,"Going to have our we don't want to include we don't want to include the you know, the woods Institute of The precourt Institute. I I think those some of those constraints should be imposed probably on the school from the very beginning and then the school for goes out.","The faculty members of the New School should collectively undertake a process to finalize the design the academic structure.,"
